company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
Citigroup,NYSE: C,"New York, New York",$55.33,"Citigroup Inc. is a diversified financial services holding company. The company has approximately 200 million customer accounts and does business in nearly 160 countries and jurisdictions.. It operates through the following segments: Global Consumer Banking; Institutional Clients Group; and Corporate and Other. The Global Consumer Banking segment provides traditional banking services to retail customers through retail banking, including commercial banking, and Citi-branded cards and Citi retail services. The Institutional Clients Group segment provides corporate, institutional, public sector and high-net-worth clients around the world with a full range of wholesale banking products and services. This segment includes fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance and securities services. The Corporate and Other segment includes certain unallocated costs of global staff functions, other corporate expenses and unallocated global operations and technology expenses, Corporate Treasury, certain North America and international legacy consumer loan portfolios, other legacy assets and discontinued operations. The company was founded in 1812 and is headquartered in New York, NY. Read Less",Banking and Financial Services,1998,"New York, New York",United States,,"86,862",$120.4B,$2.5T,$15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jane Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Mobile,,"Hong Kong, Hong Kong",,"China Mobile Ltd. operates as an investment holding company. It provides telecommunications and other related services in Mainland China. The firm offers communications services in all 31 provinces, autonomous regions and directly-administered municipalities throughout Mainland China and in Hong Kong Special Administrative Region. Its Internet Protocol based core network is capable of supporting the GSM, TD-SCDMA, TD-LTE and LTE FDD networks. The company was founded on September 3, 1997 and is headquartered in Hong Kong.",Telecommunications Services,1997,Hong Kong,Hong Kong,,"450,698",$140.5B,$290B,$18.8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xin Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Merchants Bank,,"Shenzhen, China",,"China Merchants Bank Co., Ltd. engages in the provision of corporate and personal banking services. It focuses on individual and corporate businesses, credit card, and small and medium enterprises. It operates through the following business segments: Wholesale Finance, Retail Finance, and Other Businesses. The company was founded on March 31, 1987 and is headquartered in Shenzhen, China.",Banking,1987,Shenzhen,China,,"112,999",$72.4B,$1.5T,$20.6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hui Yu Tian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP,,"London, United Kingdom",,"BP Plc operates as an integrated oil and gas company. It operates through the following segments: Upstream, Downstream and Rosneft. The Upstream segment engages in the oil and natural gas exploration, field development and production, midstream transportation, storage and processing and marketing and trade of natural gas, including liquefied natural gas and power and natural gas liquids. The Downstream segment refines, manufactures, markets, transports, supplies, and trades crude oil, petroleum, petrochemicals products and related services to wholesale and retail customers. The Rosneft segment engages in investment activities. The company was founded by William Knox D'Arcy on April 14, 1909 and is headquartered in London, the United Kingdom. Read Less","Construction, Chemicals, Raw Materials",1909,London,United Kingdom,,"67,600",$248.1B,$278.7B,$25.9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernard Looney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen Group,,"Wolfsburg, Germany",,"Volkswagen AG engages in the production and sale of passenger cars and light commercial vehicles. The firm also develops vehicles and components for the brands of the group. It operates through following segments: Passenger Cars, Commercial Vehicles, Power Engineering, and Financial Services. The Passenger Cars segment covers the development of vehicles and engines; production and sale of passenger cars and light commercial vehicles; and the corresponding genuine parts business. The Commercial Vehicles segment covers the development, production, and sale of light commercial vehicles, trucks, and buses; and the corresponding genuine parts business and related services. The Power Engineering segment deals with the development and production of large-bore diesel engines, turbo compressors, industrial turbine,s and chemical reactor systems; and the production of gear units, propulsion component,s and testing systems. The Financial Services segment involves dealer and customer financing, leasing, banking, insurance, fleet management services. The company was founded on May 28, 1937 and is headquartered in Wolfsburg, Germany. Read Less",Automotive (Automotive and Suppliers),1937,Wolfsburg,Germany,,"675,800",$293.5B,$633.8B,$15.6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oliver Ingo Blume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Stanley,NYSE: MS,"New York, New York",$85.46,"Morgan Stanley operates as a global financial services company. The firm provides investment banking products and services to its clients and customers including corporations, governments, financial institutions, and individuals. It operates through the following business segments: Institutional Securities, Wealth Management, and Investment Management. The Institutional Services segment provides financial advisory, capital-raising services, and related financing services on behalf of institutional investors. The Wealth Management segment offers brokerage and investment advisory services covering various types of investments, including equities, options, futures, foreign currencies, precious metals, fixed-income securities, mutual funds, structured products, alternative investments, unit investment trusts, managed futures, separately managed accounts, and mutual fund asset allocation programs. The Investment Management segment provides equity, fixed income, alternative investments, real estate, and merchant banking strategies. The company was founded by Harold Stanley and Henry S. Morgan on September 16, 1935 and is headquartered in New York, NY. Read Less",Banking and Financial Services,1931,"New York, New York",United States,James Gorman,"82,000",$74.2B,$1.2T,$10.3B,85.35,85.01,84.53 x 85.48,"6,443,959",69.42 x 99.20,$139.04B,16.50,13.45,5.18,3.33,3.98%,"Jan 30, 2024",2.60,1.55,2.11,N/A,N/A,N/A,86.47%,N/A,16.95%,N/A,9.17%,$44.37B,32.93,0.42%,N/A,N/A,-15.77,$541.13B,66.01,$379.2B,378.60%,N/A,Outperform,95.04,83.90 to 116.00,5.95 to 7.12,6.36,$56.61B,$54.24B to $57.7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta Platforms, FB,"Menlo Park, California",,"Facebook, Inc. operates as a social networking company worldwide. The company engages in the development of social media applications for people to connect through mobile devices, personal computers, and other surfaces. It enables users to share opinions, ideas, photos, videos, and other activities online. The firm's products include Facebook, Instagram, Messenger, WhatsApp, and Oculus. The company was founded by Mark Elliot Zuckerberg, Dustin Moskovitz, Chris R. Hughes, Andrew McCollum, and Eduardo P. Saverin on February 4, 2004 and is headquartered in Menlo Park, CA.",IT Software & Services,2004,"Menlo Park, California",United States,,"86,482",$117.3B,$184.5B,$21.4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Zuckerberg,,,,,,,,,,,,,,,,,,,,,,,,,
Sinopec,,"Beijing, China",,"China Petroleum & Chemical Corp. engages in the exploration, development and production of crude oil and natural gas. It operates through the following segments: Exploration and Production; Refining; Marketing and Distribution; Chemicals; and Corporate and Others. The Exploration and Production segment consists of activities related to exploring for and developing, producing, and selling crude oil and natural gas. The Refining segment purchases crude oil from its exploration and production segment and from third parties, processing of crude oil into refined oil products, and selling refined oil products principally to its marketing and distribution segment. The Marketing and Distribution segment includes refined oil products from its refining segment and third parties, and marketing, selling and distributing refined oil products by wholesale to large customers and independent distributors, and retail through its retail network. The Chemicals segment focuses on chemical feedstock principally from the refining segment and producing, marketing, selling, and distributing chemical product. The Corporate and Others segment comprises of trading activities of the import and export subsidiaries, and its research and development activities. The company was founded on February 25, 2000 and is headquartered in Beijing, China. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",2000,Beijing,China,,"374,791",$453.6B,$283.3B,$9.8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNP Paribas,,"Paris, France",,"BNP Paribas SA engages in the provision of banking and financial services. The company operates through the following business: Retail Banking and Services, and Corporate Institutional Banking. The Retail Banking and Services business includes the retail banking networks and specialized financial services in France and around the world. The Corporate Institutional Banking business is a provider of financial solutions to corporate and institutional clients. It helps all its individuals, community associations, entrepreneurs, SMEs, corporate and institutional clients to realize their projects through solutions spanning financing, investment, savings and protection insurance. The company was founded in 1822 and is headquartered in Paris, France. Read Less",Banking,1953,Paris,France,,"208,089",$99.5B,$2.8T,$10.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Laurent Bonnafé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Group,NYSE: GS,"New York, New York",$388.27,"Goldman Sachs Group, Inc. engages in global investment banking, securities, and investment management, which provides financial services. It operates through the following business segments: Investment Banking, Global Markets, Asset Management, and Consumer & Wealth Management. The Investment Banking segment serves public and private sector clients around the world and provides financial advisory services, help companies raise capital to strengthen and grow their businesses and provide financing to corporate clients. The Global Markets segment serves its clients who buy and sell financial products, funding and manage risk. The Asset Management segment provides investment services to help clients preserve and grow their financial assets. The Consumer & Wealth Management segment helps clients to achieve their individual financial goals by providing a wealth advisory and banking services. The company was founded by Marcus Goldman in 1869 and is headquartered in New York, NY. Read Less",Diversified Financials,1869,"New York, New York",United States,,"48,500",$79.5B,$1.5T,$10.6B,384.52,381.84,381.26 x 388.66,"1,772,466",289.36 x 396.35,$137.61B,16.98,11.51,22.87,10.50,2.86%,"Nov 29, 2023",2.93,1.30,1.30,N/A,N/A,N/A,83.16%,N/A,18.83%,0.55%,7.25%,$39.9B,132.71,1.29%,N/A,N/A,-23.92,$720B,682.79,$642B,548.72%,2.88,Outperform,416.23,355.00 to 506.00,29.76 to 38.80,33.73,$50.14B,$46.42B to $51.97B,David Michael Solomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tencent Holdings,,"Shenzhen, China",,"Tencent Holdings Ltd. is an investment company, which engages in the provision of value-added services and online advertising services. It operates through the following segments: Value-Added Services, Online Advertising, and Others. The Value-added Services segment involves online and mobile games, community value-added services, and applications across various Internet and mobile platforms. The Online Advertising segment represents display based and performance based advertisements. The Other segment consists of trademark licensing, software development services, software sales, and other services. The company was founded by Yi Dan Chen, Hua Teng Ma, Chen Ye Xu, Li Qing Zeng, and Zhi Dong Zhang in 1998 and is headquartered in Shenzhen, China. Read Less","IT, Internet, Software & Services",1998,Shenzhen,China,,"108,436",$82.4B,$227B,$27.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hua Teng Ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
