company_name,Ticker1,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Sector,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),Total Cash Per Share,Total Debt/Equity,Current Ratio,Market Cap USD,EBITDA (ttm) USD,Total Cash USD,Total Debt USD,segment_list,business_segments_homologation
General Motors,GM,Automotive (Automotive and Suppliers),United States,97012.0,160.7,267.0,9.4,Consumer Cyclical,5.9316936,5.1875744,7.32,0.48,0.0112,0.29169437,0.810498,0.11217,0.02027,0.058930002,0.02239,0.13998,125.984,-0.003,18.335,179.941,1.076,50.125344768,15.783999488,21.166000128,122.911997952,"['GM North America', 'GM International', 'Cruise and GM Financial']","Automotive Manufacturing, Mobility Services, Electric Vehicles, Autonomous Driving, Commercial Vehicles"
CITIC,0267.HK,Banking and Financial Services,China,195.0,98.5,1500.0,9.6,Industrials,3.6238937,3.2499998,2.26,0.65,0.0791,0.25614738,0.3480071,0.49005002,0.37673,0.06481,0.01929,0.08911,31.974,0.051,59.136,163.348,1.646,35.022682619904,50.438980042752,252.883225018368,306.437667422208,"['Financial Services', 'Resources and Energy', 'Manufacturing', 'Engineering Contracting', 'Real Estate', 'and Other Businesses']","Financial Services, Energy, Manufacturing, Real Estate, Telecommunications"
Anheuser-Busch InBev,ABI.BR,"Food, Soft Beverages, Alcohol & Tobacco",Belgium,166632.0,57.8,214.8,6.1,Consumer Defensive,22.841665,15.662857,2.4,0.82,0.0149,1.8297952,1.328712,0.53863,0.23126,0.089949995,0.041589998,0.07788,29.454,-0.013,5.242,84.532,0.629,108.65324032,18.21100032,10.398999552,78.34099712,"['North America', 'Latin America West', 'Latin America North', 'Latin America South', 'EMEA', 'Asia Pacific and Global Export and Holding Companies']","Beer Production, Non-alcoholic Beverages, Craft Beer, Hard Seltzer, Cannabis-infused Beverages"
AbbVie,ABBV,Drugs & Biotechnology,United States,50000.0,56.7,134.5,7.5,Healthcare,65.49815,14.537265,2.71,6.2,0.0352,5.7861185,30.253962,0.69207,0.31809,0.08953,0.08071,0.35204,30.723,-0.054,7.255,582.658,0.872,314.290372608,26.357999616,12.816,60.57900032,[],"Pharmaceuticals, Biotechnology, Immunology, Oncology, Neuroscience"
Mitsubishi,8058.T,Retail and Wholesale,Japan,80728.0,161.0,171.1,9.5,Industrials,16.518166,13.707237,216.61,70.0,0.0197,0.73990625,1.6935538,0.12069,0.04492,0.046090003,0.019809999,0.109610006,4713.564,-0.075,459.192,70.463,1.337,134.61588814069762,9.2621711343616,17.260825673728,62.9448837169152,"['Global Environmental and Infrastructure', 'Industrial Finance', 'Logistics and Development', 'Energy Business', 'Metals', 'Machinery', 'Chemicals', 'Living Essentials', 'and Others']","Automotive Manufacturing, Energy, Chemicals, Finance, Electronics"
Roche Holding,ROG.SW,Drugs & Biotechnology,Switzerland,103613.0,66.3,95.3,13.0,Healthcare,15.715783,10.701379,14.32,9.6,0.0416,2.989917,6.120312,0.74195,0.23896,0.19024,0.12442,0.37862998,75.646,-0.065,13.184,92.746,1.347,186.13499428864,21.54553960448,10.82632953856,31.77550092288,['Diagnostics and Pharmaceuticals'],"Pharmaceuticals, Biotechnology, Diagnostics, Oncology, Immunology"
Elevance Health,ELV,Healthcare & Social,United States,100000.0,160.7,109.0,6.2,Healthcare,20.423412,12.389744,25.2,6.52,0.0127,0.6988896,3.0518131,0.27437,0.05637,0.03494,0.0584,0.15821,726.325,0.068,156.312,65.903,1.436,119.74774784,10.949000192,36.3689984,25.969000448,[],"Health Insurance, Healthcare Services, Pharmacy Benefits Management, Digital Health, Population Health Management"
Raytheon Technologies,RTX,Aerospace & Defense,United States,127400.0,68.6,161.6,5.5,Industrials,42.26906,15.427169,2.23,2.36,0.0249,1.8185122,2.087985,0.17541,0.11572,0.04636,0.02105,0.049829997,48.331,0.101,4.973,74.192,1.035,125.3318656,9.610999808,6.586999808,45.587001344,"['Collins Aerospace Systems', 'Pratt and Whitney', 'Raytheon Intelligence and Space', 'and Raytheon Missiles and Defense']","Aerospace and Defense, Cybersecurity, Artificial Intelligence, Hypersonics, Sustainable Aviation"
Oracle,ORCL,IT Software & Services,United States,170000.0,48.0,131.6,8.4,Technology,34.039577,22.514833,3.79,1.6,0.0124,6.7527184,63.023937,0.71531,0.28983,0.20267001,0.07121,4.98454,19.215,0.071,3.603,1423.164,0.846,354.585247744,20.800999424,9.904,87.979999232,"['Cloud and License', 'Hardware', 'and Services']","Enterprise Software, Cloud Computing, Database Management, Artificial Intelligence, Blockchain"
PepsiCo,PEP,"Food, Soft Beverages, Alcohol & Tobacco",United States,132000.0,88.0,93.0,6.6,Consumer Defensive,26.248096,19.552155,6.57,5.06,0.0294,2.5912085,12.805376,0.54228,0.09828,0.0992,0.08783,0.50988996,66.476,-0.005,7.278,252.514,0.852,237.02044672,16.327999488,10.00300032,47.061000192,"['Frito-Lay North America; Quaker Foods North America; North America Beverages; Latin America; Europe Sub-Saharan Africa; and Asia', 'Middle East', 'and North Africa']","Beverages, Snacks, Plant-based Foods, Functional Beverages, Direct-to-Consumer"
ConocoPhillips,COP,"Construction, Oil & Gas Operations, Mining and Chemicals",United States,2500.0,75.2,91.4,15.8,Energy,13.63245,12.719876,9.06,3.58,0.0294,2.511163,2.9527364,0.48724997,0.29228002,0.18937,0.10823,0.22525999,48.107,-0.208,5.615,39.843,1.432,145.298407424,24.753000448,6.606000128,19.633999872,['Alaska; Lower 48; Canada; Europe and North Africa; Asia Pacific and Middle East; Other International; and Corporate & Other'],"Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Carbon Capture and Storage"
Bank of Montreal,BMO,Banking and Financial Services,Canada,46722.0,37.6,858.6,8.3,Financial Services,17.959032,10.539891,5.37,4.47,0.0465,2.2435164,0.9459632,,0.27466,0.17708,0.00448,0.07275,43.463,0.443,497.861,,,54.57021812736,,281.68140029952,143.9279382528,['Canadian Personal and Commercial Banking (Canadian P&C); United States Personal and Commercial Banking (U'],"Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Sumitomo Mitsui Financial,8316.T,Banking,Japan,101023.0,41.5,2000.0,6.4,Financial Services,14.24347,12.061288,625.62,270.0,0.030299999,3.0247624,0.8559829,,0.27024,0.24490999,0.00348,0.072680004,2900.029,0.354,76472.93,,,106.7664664428544,,921.2448796049408,494.7255819763713,"['Commercial Banking', 'Leasing', 'Securities', 'and Consumer Finance']","Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
Walt Disney,DIS,Media & Advertising,United States,166000.0,84.1,202.1,3.3,Communication Services,71.59509,23.293411,1.63,0.9,0.0077,2.406958,2.1793938,0.34332,0.12892,0.03358,0.03216,0.039,48.605,0.002,3.921,45.203,0.837,214.062809088,15.594999808,7.192,47.689998336,"['Media Networks', 'Parks', 'Experiences and Products', 'Studio Entertainment and Direct-to-Consumer and International (DTCI)']","Media and Entertainment, Theme Parks, Streaming Services, Consumer Products, Metaverse Experiences"
Bank of Nova Scotia,BNS,Banking,Canada,90979.0,40.2,1000.0,6.9,Financial Services,11.197339,9.711539,4.51,3.14,0.0624,2.0993085,0.88197285,,0.36568,0.26746,0.0057599996,0.10203,24.448,0.02,349.053,,,48.1397010432,,332.73941655552,194.45946384384,"['Canadian Banking', 'International Banking', 'Global Banking and Markets', 'and Other']","Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Sanofi ,SNY,Drugs & Biotechnology,France,91000.0,45.2,135.2,8.8,Healthcare,20.397436,9.603622,2.34,1.9,0.0394,2.5884814,0.80668604,0.69118,0.06913,0.11731,0.04543,0.07272,18.388,0.029,6.976,24.778,1.267,128.68800086016,13.52159944704,9.40679958528,19.8968389632,"['Pharmaceuticals', 'Consumer Healthcare', 'and Vaccines']","Pharmaceuticals, Vaccines, Consumer Healthcare, Rare Diseases, Digital Health"
BHP Group,BHP,"Construction, Oil & Gas Operations, Mining and Chemicals",Australia,80000.0,60.0,87.8,19.5,Basic Materials,19.89347,28.37745,2.91,3.04,0.052600004,2.633841,7.086547,0.78463995,0.38531,0.1328,0.14743,0.19326,21.974,0.057,2.101,52.521,1.568,146.589057024,26.851999744,10.645000192,23.94500096,"['Petroleum', 'Copper', 'Iron Ore', 'and Coal']","Mining, Petroleum, Renewable Energy, Carbon Capture and Storage, Sustainable Materials"
Mitsubishi UFJ Financial,8306.T,Banking,Japan,135049.0,60.2,3000.0,3.1,Financial Services,9.249283,12.779126,170.77,41.0,0.026099999,4.5674515,0.99348557,,0.34701002,0.38105,0.00401,0.083900005,339.048,0.006,12915.392,,,169.57795718922242,,1396.3011458859007,887.7387257217025,"['Integrated Retail Banking Business Group', 'Integrated Corporate Banking Business Group', 'Integrated Trust Assets Business Group', 'Integrated Global Business Group', 'Global Markets and Others']","Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
UBS,UBS,Banking and Financial Services,Switzerland,74022.0,39.9,1100.0,6.5,Financial Services,3.5471053,14.671361,8.81,0.35,0.0112,2.519638,1.1488549,,-0.07008,0.72936,0.020580001,0.4005,12.624,0.356,205.639,,,100.276559872,,659.865010176,643.682009088,"['Global Wealth Management;; Personal and Corporate Banking; Asset Management; Investment Bank', 'and Corporate Center']","Investment Banking, Wealth Management, Asset Management, Digital Finance, Sustainable Investing"
Cisco Systems,CSCO,IT Software & Services,United States,39900.0,53.2,95.8,11.3,Technology,15.161095,14.251429,3.29,1.6,0.0323,3.5289712,4.367776,0.64218,0.24298,0.23486,0.10196,0.30646,14.067,-0.059,6.479,27.364,1.365,201.97359616,17.671000064,26.23399936,12.656,"['the Americas', 'EMEA', 'and APJC']","Networking Hardware, Software, Cybersecurity, Internet of Things, 5G Solutions"
Novartis,NVS,Drugs & Biotechnology,Switzerland,101703.0,51.0,112.2,7.0,Healthcare,23.434147,12.177441,4.1,3.78,0.039300002,4.2089667,4.2083135,0.74239,0.25365,0.31826,0.07269,0.16147,22.467,0.074,6.885,56.554,1.155,196.390404096,17.518000128,14.072999936,26.439000064,"['Innovative Medicines', 'Sandoz', 'and Corporate']","Pharmaceuticals, Biotechnology, Oncology, Neuroscience, Gene Therapy"
United Parcel Service,UPS,Transportation and Logistics,United States,534000.0,98.6,72.2,10.8,Industrials,19.91282,16.012373,7.8,6.52,0.0421,1.456818,7.6557574,0.22962,0.1078,0.07375,0.08614001,0.36145002,105.888,-0.078,7.121,154.378,1.098,132.50924544,13.150000128,6.072,26.72900096,['U'],"Package Delivery, Supply Chain Management, Logistics, E-commerce Fulfillment, Healthcare Logistics"
Coca-Cola,KO,"Food, Soft Beverages, Alcohol & Tobacco",United States,9000.0,43.3,97.4,9.9,Consumer Defensive,24.481781,21.90942,2.47,1.94,0.0319,5.6978116,10.041515,0.59523,0.22490999,0.23417,0.08737001,0.40157002,10.584,0.072,3.168,162.096,1.134,260.697669632,14.440999936,13.662999552,44.544,"['Eurasia and Africa', 'Europe', 'Latin America', 'North America', 'Asia Pacific', 'Bottling Investments and Global Ventures']","Beverages, Snacks, Plant-based Foods, Energy Drinks, Blockchain-enabled Supply Chain"
Siemens,SIE.DE,"Engineering, Manufacturing",Germany,311000.0,77.3,153.6,3.7,Industrials,15.894546,20.59364,11.0,4.7,0.026700001,1.7681199,2.9999485,0.38239,0.12633,0.11344,0.04046,0.18431,98.744,0.019,13.641,97.02,1.319,149.15838541824,12.87900020736,11.63052048384,53.2666810368,[],"Industrial Automation, Smart Infrastructure, Digital Industries, Mobility, Renewable Energy"
Costco Wholesale,COST,Retail and Wholesale,United States,202000.0,234.4,66.8,6.1,Consumer Defensive,48.66055,42.72497,15.26,4.08,0.0055,1.3235179,15.865311,0.12550001,0.03528,0.0273,0.08351,0.31194,560.607,0.057,23.271,45.438,0.927,329.328328704,11.072,10.321000448,9.432999936,"['Unites States Operations', 'Canadian Operations', 'and Other International Operations']","Membership Warehouse Clubs, E-commerce, Travel, Gasoline, Optical Services"
Commonwealth Bank,CBA.AX,Banking and Financial Services,Australia,48900.0,25.3,835.8,7.0,Financial Services,20.342012,20.960644,5.76,4.3,0.0364,7.50349,2.6917686,,0.5672,0.37037,0.0078,0.13457,15.557,-0.022,79.38,,,143.11735656448,,96.95933014016,227.66438023168,['Retail Banking Services; Business and Private Banking; Institutional Banking and Markets; Wealth Management; New Zealand; Bankwest; and International Financial Services and Other'],"Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Rio Tinto,RIO,"Construction, Oil & Gas, Mining",United Kingdom,54000.0,55.3,96.7,12.1,Basic Materials,10.410714,15.232779,6.16,4.35,0.0681,1.9268546,1.9049456,0.32009,0.2559,0.18611999,0.09277,0.18249,33.33,0.062,6.63,25.473,1.688,104.129150976,19.45299968,10.750999552,14.352,"['Iron Ore', 'Aluminium', 'Copper and Diamonds', 'Energy and Minerals', 'and Other Operations']","Mining, Metals, Minerals, Renewable Energy, Carbon Capture and Storage"
Iberdrola,IBE.MC,Utilities,Spain,45000.0,59.5,165.1,4.9,Utilities,15.451388,15.669015,0.72,0.52,0.0468,1.4189262,1.6048759,0.47232,0.17791,0.097349994,0.03744,0.09146,7.671,,0.739,88.989,0.822,75.6029472768,14.36615958528,5.02416027648,57.94524020736,[],"Renewable Energy, Power Generation, Energy Storage, Smart Grids, Sustainable Mobility"
BBVA-Banco Bilbao Vizcaya,BBVA,Banking,Spain,115675.0,51.9,803.5,6.7,Financial Services,8.349999,7.640523,1.4,0.76,0.066300005,2.5008144,1.276619,,0.50904,0.29524,0.01131,0.15912,4.562,0.117,28.866,,,73.3585932288,,176.00759267328,153.95400843264,"['Spain', 'the United States', 'Mexico', 'Turkey', 'South America', 'and Rest of Eurasia']","Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Hyundai Motor,005380.KS,Automotive (Automotive and Suppliers),South Korea,292757.0,114.5,203.1,7.0,Consumer Cyclical,,5.3771834,,11400.0,0.0452,0.3739252,,0.20584999,0.093,0.07354,0.03513,0.13484,723645.4,,128454.46,123.57,1.387,46.226250661888,14.027634895749122,22.03961654247424,95.61283489693696,[],"Automotive Manufacturing, Mobility Services, Electric Vehicles, Autonomous Driving, Robotics"
Zurich Insurance Group,ZURN.SW,Insurance,Switzerland,59400.0,41.9,352.1,4.6,Financial Services,18.386974,12.949333,26.41,26.0,0.0533,0.97503275,2.8126104,0.33872002,0.33571997,0.06067,0.03225,0.17729999,493.702,0.444,213.695,61.696,2.442,69.92154624,18.225999872,30.769999872,16.213000192,"['Property and Casualty Regions', 'Life Regions', 'Farmers', 'Group Functions and Operations', 'and Non-Core Businesses']","Insurance, Asset Management, Banking, Digital Finance, Cybersecurity"
Mitsui,8031.T,Retail and Wholesale,Japan,5449.0,105.6,115.6,8.3,Industrials,10.658434,11.732275,668.86,170.0,0.0239,0.8044999,1.505942,0.10268,0.05011,0.07659,0.02316,0.1517,8749.112,0.002,747.758,66.81,1.484,97.136981573632,7.3425986256896,10.206650761216,44.532488680243205,"['Iron and Steel Products', 'Mineral and Metal Resources', 'Machinery and Infrastructure', 'Chemicals', 'Energy', 'Lifestyle', 'Innovation and Corporate Development', 'and Others']","Energy, Chemicals, Food, Logistics, Mobility Services"
Honda Motor,HMC,Automotive (Automotive and Suppliers),Japan,197039.0,124.7,183.0,5.4,Consumer Cyclical,9.775456,12.195439,3.83,1.02,0.0275,0.003122471,0.015061942,0.21231002,0.07046,0.04838,0.02722,0.08494,11757.414,0.214,918.905,76.774,1.448,0.5507786432512001,23.0661513019392,40.700695805952,86.1751509778432,"['Automobile', 'Motorcycle', 'Financial Services', 'and Power Product and Other Businesses']","Automotive Manufacturing, Mobility Services, Electric Vehicles, Autonomous Driving, Robotics"
British American Tobacco,BTI,"Food, Drink & Tobacco",United Kingdom,50397.0,34.1,184.7,8.2,Consumer Defensive,,7.594458,-8.23,2.97,0.0959,2.4707904,1.3216728,0.82073,0.48439997,-0.52659,0.05804,-0.22059,2.448,-0.064,2.358,75.409,0.905,83.5891134464,16.46099976192,6.52240031744,49.49707833344,[],"Tobacco Products, Vaping Products, Cannabis Products, Nicotine Delivery Systems, Sustainable Agriculture"
Bristol Myers Squibb,BMY,Drugs & Biotechnology,United States,20580.0,45.8,94.3,7.3,Healthcare,13.365285,7.8763356,3.86,2.4,0.0463,2.3180194,3.5427825,0.76629996,0.17007999,0.17830999,0.05633,0.26533002,21.753,0.006,6.073,140.821,1.427,104.324775936,18.420000768,12.280000512,41.521000448,[],"Pharmaceuticals, Biotechnology, Oncology, Immunology, Cardiovascular Disease"
Chubb,CB,Insurance,Switzerland,40000.0,44.7,179.8,5.2,Financial Services,11.762734,10.787457,21.79,3.44,0.013300001,2.0927677,1.7455885,0.27583998,0.19837,0.18167,0.027479999,0.15787,120.958,0.116,17.252,31.036,0.391,104.000094208,9.758000128,7.0,19.76699904,"['North America Commercial P&C Insurance', 'North America Personal P&C Insurance', 'North America Agricultural Insurance', 'Overseas General Insurance', 'Global Reinsurance', 'and Life Insurance']","Insurance, Reinsurance, Risk Management, Cybersecurity, Digital Insurance"
Intesa Sanpaolo,ISP.MI,Banking and Financial Services,Italy,95574.0,36.4,1000.0,5.8,Financial Services,8.44359,7.1586957,0.39,0.3,0.090500005,2.5503628,0.95118433,,0.34202,0.32716,0.00799,0.123100005,,0.291,,,,65.02843662336001,,159.76656470016,124.26263986176002,"['Banca dei Territori', 'Corporate and Investment Banking', 'International Subsidiary Banks', 'Private Banking', 'Asset Management', 'Insurance', 'and Corporate Centre']","Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Munich Re,MUV2.DE,Banking and Financial Services,Germany,41389.0,79.5,324.8,3.6,Financial Services,20.94384,10.509116,21.19,15.0,0.0335,1.0308136,2.0147543,0.29228002,0.07103,0.07858,0.01398,0.16125,431.044,0.013,265.951,21.256,0.561,65.25148741632,6.62580006912,38.66076020736,6.83424,['Life and Health Reinsurance; Property-Casualty Reinsurance; ERGO Life and Health Germany; EGRO Property-Casualty Germany; and ERGO International'],"Reinsurance, Insurance, Risk Management, Asset Management, Digital Insurance"
Shanghai Pudong Development,600000.SS,Banking,China,63361.0,56.2,1300.0,7.6,Financial Services,6.6981134,6.635514,1.06,0.32,0.045100003,1.2016134,0.29118648,,0.09305,0.21162,,0.05131,5.056,2.825,45.358,,,30.634890166272,,195.706688765952,302.500721983488,[],"Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
Hon Hai Precision ,2317.TW,Technology Hardware & Equipment,Taiwan,,222.3,134.5,4.7,Technology,14.150944,10.853008,10.07,5.3,0.0372,0.32054412,1.3229232,0.06296,0.02642,0.02306,0.02578,0.09278,444.556,-0.057,97.366,55.963,1.59,63.208438104064,7.577210978304,43.188651819008,30.197409644544,[],"Electronics Manufacturing, Precision Components, Computing, Communication Products, Industrial Robots"
